name,latitude,longitude,mndwi
Matarakoski,67.5847,26.7453,-0.1605020463466644
Melo,61.462083,23.437917,-0.2987739741802215
Merikoski,65.02166667,25.4825,-0.3003579378128052
Montta,64.82055556,26.01388889,-0.2961675524711609
Myllykosken vesivoimalaitos VVA2,60.76694444,26.77111111,-0.1288963109254837
Nuojua,64.57722222,26.71361111,-0.2552461326122284
Oksava,63.75,25.3333,-0.3689168989658355
Ossauskoski,66.155998,25.125,-0.2250563502311706
Pahkakoski,65.35833333,26.03833333,-0.2941513657569885
Palokki,62.56194444,28.625,-0.3636721074581146
Pamilo Heinajoki,62.807917,30.529583,-0.371474027633667
Pankakoski,63.32638889,30.13805556,-0.3352783322334289
Peltokoski,62.42,30.43916667,-0.4214032292366028
Permantokoski,66.4925,26.12722222,-0.2142553180456161
Petajaskoski / Petäjäskoski,66.27222222,25.3375,-0.2937338352203369
Pirttikoski,66.33972222,27.15361111,-0.3368399143218994
Portimokoski,66.37861111,23.78416667,-0.3845803737640381
Porttipahta,68.10875,26.722083,-0.5158854126930237
Puntarikoski,62.825417,29.475417,-0.4551810622215271
Pyhäkoski,64.84611111,26.04027778,-0.2352876514196396
Pälli,64.84333333,26.19388889,-0.3347522318363189
Raasakka,65.33444444,25.41166667,-0.2700293362140655
Ruskeakoski,62.42694444,30.4425,-0.3251786231994629
Seitakorva,66.40583333,27.33027778,0.0047595216892659
Seitenoikea,64.59222222,28.41611111,-0.2627902925014496
Tainionkoski Tainionkoski Hydroelectric Power Plant Finland - Tainionkoski Hydroelectric Power Plant Finland,61.210576,28.782635,-0.3620380759239197
Taivalkoski,65.931,24.714001,-0.0867624729871749
Tammerkoski,61.4991,23.7871,-0.23577781021595
Tampella ve,61.5037,23.7659,-0.2454710751771927
Tyrvään vesivoimalaitos,61.32861111,22.84694444,-0.2321459203958511
Uljua,64.3333,25.85,-0.477034717798233
Utanen,64.73638889,26.47777778,-0.2895570397377014
Vaaja,62.24472222,25.88722222,-0.4186937510967254
Vajukoski,67.69611111,26.80444444,-0.2345557659864425
Valajaskoski,66.424004,25.540001,-0.1614439189434051
Vanttauskoski,66.36875,26.689583,0.0050825248472392
Verla 1 ja 2,61.06277778,26.63972222,-0.4074267148971557
Voikkaa hydropower plant,60.93833333,26.5975,-0.2374117374420166
Vuolenkoski ve,61.07972222,26.1825,-0.3492906391620636
 Centrale Hydroéléctrique d'Arrens,42.9474,-0.2179,-0.4808110296726227
Aigle AIGLE 6 - L'Aigle Hydroelectric Generating Station France,45.24373,2.22483,-0.2834269106388092
Albaret-le-Comtal,44.8674,3.1442,-0.5251504778862
Allement Allement Hydroelectric Power Station France - Allement Hydroelectric Power Station France,46.112,5.422,-0.0151976533234119
Alrance Alrance Hydroelectric Power Station France - Alrance Hydroelectric Power Station France,44.1035517,2.6946591,0.3584229946136474
Aragnouet,42.7845,0.1782,-0.4845868647098541
Arbéost,42.9795,-0.2738,-0.538459300994873
Arcambal,44.4548,1.5482,-0.4787199199199676
Argancy,49.1906164,6.1910177,0.1805338859558105
Argentat Hydroelectric Generating Station - Argentat Hydroelectric Generating Station,45.104,1.954,-0.251809298992157
Argentiere bessee Argentiere-La Bessee Hydroelectric Power Station France - Argentiere-La Bessee Hydroelectric Power Station France,44.79472222,6.55972222,-0.1316666007041931
Argentine,45.4894,6.3328,-0.5329238176345825
Arlos,42.8865,0.7118,-0.3308389782905578
Arreau,42.9143,0.3356,-0.5315544605255127
Artemare,45.8699,5.6901,-0.4333033263683319
Artouste Hydroelectric Power Station France - Artouste Hydroelectric Power Station France,42.887,-0.411,-0.4900998473167419
Arvan,45.25416667,6.32333333,-0.361376404762268
Arvillard,45.4095,6.1709,-0.3209876418113708
Aston ASTON - Aston Hydroelectric Power Station France,42.77668,1.67671,-0.4214099645614624
Auribeau-sur-Siagne,43.6121,6.9118,-0.5692580938339233
Auterive,43.3594,1.4775,-0.4918317496776581
Auzat,42.76298,1.47771,-0.3709929585456848
Auzerette Auzerette Hydroelectric Power Station France - Auzerette Hydroelectric Power Station France,45.365,2.646,-0.4113756716251373
Avignon AVIGNON VILLENEUVE - Avignon  Hydroelectric Power Station France,43.97606,4.81721,0.129045233130455
Avrieux,45.1776,6.7466,-0.337234616279602
Badecon-le-Pin/Roche-bat-l'Aigue,46.52972222,1.58138889,-0.3375367820262909
Bagnères-de-Bigorre,42.9745,0.1329,-0.4327027201652527
Baigts-de-Béarn,43.5094649,-0.8416505,-0.2206557691097259
Baix logis neuf BAIX LOGIS NEUF - Logis Neuf Hydroelectric Power Station France,44.67605,4.78827,0.1881117671728134
Banca,43.1001,-1.3716,-0.505612313747406
Bancairon Bancairon Hydroelectric Power Station France - Bancairon Hydroelectric Power Station France,44.00166667,7.13694444,-0.3551003932952881
Bar,45.34416667,1.82388889,-0.5395915508270264
Beaucens,42.9519,0.0232,-0.3298149704933166
Beauchastel BEAUCHASTEL - Beauchastel Hydroelectric Power Station France,44.82397,4.81049,0.1068474873900413
Beaumont Beaumont Hydroelectric Power Station France - Beaumont Hydroelectric Power Station France,43.735,5.753,-0.3368250727653503
Beauvoir Beauvoir Hydroelectric Power Station France - Beauvoir Hydroelectric Power Station France,45.121,5.319,-0.0131368162110447
Benagues,43.0775,1.6098,-0.4890747964382171
Bessières,43.797,1.5859,-0.5023369193077087
Bessède-de-Sault,42.7854,2.1372,-0.5284859538078308
Beyrède-Jumet,42.9554,0.338,-0.5879389643669128
